Kanji,Reading,Definition,Sentence,Translation,tags
それ,それ,"that, that one",それはとってもいい話だ。,That's a really nice story.,0-9 Pronoun
一つ,ひとつ,one (thing),それを一つください。,Please give me one of those.,0-9 Noun
一,いち,one,一から始めましょう。,Let's start from the beginning.,0-9 Noun
二,に,two,その人には二回会った。,I met that person twice.,0-9 Noun
二つ,ふたつ,two (things),ソフトクリームを二つください。,Please give me two ice cream cones.,0-9 Noun
三,さん,three,彼女は三人の子供の母親だ。,She's the mother of three children.,0-9 Noun
三つ,みっつ,three (things),コップを三つ買いました。,I bought three glasses.,0-9 Noun
四つ,よっつ,four (things),私は腕時計を四つ持っています。,I have four wristwatches.,0-9 Noun
四,し,four,四月に大学に入学しました。,I entered my university in April.,0-9 Noun
これ,これ,"this, this one",これをください。,I'll have this please.,10-19 Noun
四,よん,four,ハワイは四回目です。,This is my fourth trip to Hawaii.,10-19 Noun
五つ,いつつ,five (things),桃を五つください。,"I'd like five peaches, please.",10-19 Noun
五,ご,five,五人で旅行に行きました。,Five of us went on a trip.,10-19 Noun
六つ,むっつ,six (things),息子は六つになりました。,My son turned six.,10-19 Noun
六,ろく,six,彼には子供が六人います。,He has six children.,10-19 Noun
七,なな,seven,バナナが七本あります。,There are seven bananas.,10-19 Noun
七つ,ななつ,seven (things),この子は今年七つになります。,Our kid's turning seven this year.,10-19 Noun
八,はち,eight,りんごを八個ください。,Please give me eight apples.,10-19 Noun
八つ,やっつ,eight (things),あの家には時計が八つあります。,There are eight clocks in that house.,10-19 Noun
なる,なる,become,彼は医者になりました。,He became a doctor.,20-29 Verb
九,きゅう,nine,野球は九人で1チームです。,In baseball there are nine people on one team.,20-29 Noun
九つ,ここのつ,nine (things),娘は明日九つになります。,My daughter's turning nine tomorrow.,20-29 Noun
十,じゅう,ten,その子は指で十数えました。,The child counted to ten on her fingers.,20-29 Noun
百,ひゃく,hundred,私の祖母は百才です。,My grandmother is 100 years old.,20-29 Noun
千,せん,thousand,千円貸してください。,Please lend me 1000 yen.,20-29 Noun
万,まん,ten thousand,この靴は1万円です。,These shoes are ten thousand yen.,20-29 Noun
円,えん,circle,そこに大きな円を描いて。,Draw a big circle there.,20-29 Noun
円,えん,yen,カレーライスは700円です。,The curry and rice is 700 yen.,20-29 Noun
時,とき,time,時の経つのは早い。,Time passes by quickly.,20-29 Noun
する,する,"do, make",友達と一緒に宿題をした。,I did my homework with a friend.,30-39 Verb
時々,ときどき,sometimes,彼は時々遅刻します。,He's sometimes late.,30-39 Adverb
日,にち,day,私たちは先月11日に結婚しました。,We got married last month on the 11th.,30-39 Noun
六日,むいか,"six days, 6th of the month",六日前に日本に帰ってきました。,I came back to Japan six days ago.,30-39 Noun
三日,みっか,"three days, 3rd of the month",手紙が届くのに三日かかりました。,It took three days for the letter to arrive.,30-39 Noun
五日,いつか,"five days, 5th of the month",五月五日は祝日です,May 5th is a holiday.,30-39 Noun
八日,ようか,"eight days, 8th of the month",八日からイギリスに行きます。,I go to England on the eighth.,30-39 Noun
二十日,はつか,"20 days, 20th of the month",来月の二十日は弟の誕生日です。,The 20th of next month is my little brother's birthday.,30-39 Noun
二日,ふつか,"two days, 2nd of the month",私は二日待った。,I waited two days.,30-39 Noun
九日,ここのか,"nine days, 9th of the month",九日に荷物が届きます。,The package will arrive on the ninth.,30-39 Noun
ところ,ところ,place,私は友達のところに泊まった。,I stayed at my friend's place for the night.,40-49 Noun
一日,ついたち,1st of the month,来月の一日は空いていますか。,Are you free on the 1st of next month?,40-49 Noun
十日,とおか,"ten days, 10th of the month",十日後に帰ります。,I'll come home in ten days.,40-49 Noun
七日,なのか,"seven days, 7th of the month",先月の七日に孫が生まれました。,My grandchild was born on the seventh of last month.,40-49 Noun
四日,よっか,"four days, 4th of the month",新学期は来月の四日からです。,The new school term starts on the fourth of next month.,40-49 Noun
